tx_id,tx_hash,sender_address,receiver_address,value,fee,size,vsize,weight,scriptPubKey_hex,high_value_tx,repeat_receiver_tx,high_out_degree,low_entropy_hash,duplicate_tx_flag,fraud_probability,sender_index,receiver_index,Low_Risk,Medium_Risk,High_Risk
613adb708bd50522d45f2388397b766eaaf8074f5171635820c6839799474a6c,96a2fe97867b0aa42a36a39daa1eaf204f6024dad6685c62ee7f68a20532a4dc,tb1quegfh7kkqf99m79hkf5dcj2yyevdxhlwflegqk,tb1quegfh7kkqf99m79hkf5dcj2yyevdxhlwflegqk,0.00019614,2.31E-06,313,231,922,0014e6509bfad6024a5df8b7b268dc49442658d35fee,0,0,0,0,0,0,6015,6015,1,0,0
5a1192fa8d76b12d52aab5fe0da8adebe62a39e96486e635b52a25053cba18f2,5c78eccf840246a190a59525ef8e70c9f3201195b626018d55127ace959f7391,tb1pmtss6hgdr4vaa69sleylaxqhwjs9zvu5dquk90006jvhrkjz3w7ss6pmcm,tb1pmtss6hgdr4vaa69sleylaxqhwjs9zvu5dquk90006jvhrkjz3w7ss6pmcm,0.9819588,3.08E-05,205,154,616,5120dae10d5d0d1d59dee8b0fe49fe981774a0513394683962bdefd49971da428bbd,1,0,0,0,0,0,1628,1628,0,0,1
e4651a8fdeab75768ecb23bcb616b6a8edf275d7ce07a01f7491b300d63b0f16,77b9c8f0dc515142ddc7f63be5a018bb06a42673c6961d3e00f684f80ff71834,tb1pe9eava5ayattsmavcvw8rh56djwhpc8rku83e864u6dhc0fsrfcstr46ue,tb1pe9eava5ayattsmavcvw8rh56djwhpc8rku83e864u6dhc0fsrfcstr46ue,0.00469757,3.08E-05,205,154,616,5120c973d6769d2756b86facc31c71de9a6c9d70e0e3b70f1c9f55e69b7c3d301a71,0,0,0,0,0,0,1202,1202,1,0,0
7b38f567ba12e4551ea2ca42945973d8a0283bfce6ecf34ba12bfafb7c91e80a,07b139af1cb4aa9514dc16dd4d474fe2d95379bc6496a38a646ca39becba405e,tb1qd88f7usg2xhwrhl5alt4twf8x5rt42gracnrxm,tb1qwkrfeuuq9gfsuap3jz70tvx56lcx6mxwnsegc6,0.00016425,1.41E-06,222,141,561,001475869cf3802a130e743190bcf5b0d4d7f06d6cce,0,0,0,0,0,0,3967,6290,1,0,0
c36d036b1b02cc01044e5de25eb46e01ea52755a09002d1693968769df012957,02c3fb8d61ed7e27f6c8a6fdf50a7557fea9f090d29e801bbdfd2a21dcc728a4,tb1puw6vfpq3e9fxn8y5jjhpeevj0q8k3a78xtl3yurshd97twq3r4dqnsdh0p,tb1puw6vfpq3e9fxn8y5jjhpeevj0q8k3a78xtl3yurshd97twq3r4dqnsdh0p,0.02567213,3.08E-05,205,154,616,5120e3b4c48411c952699c9494ae1ce592780f68f7c732ff127070bb4be5b8111d5a,0,0,0,0,0,0,2092,2092,1,0,0
3accf4f2fec2285fc0c70b2ee211800ae38e621e530a2acb91b72157e1f36b12,c88d56d5491114472761fcd06405bb4abaf4cd3b1d2ef6ba114c0f117542bd35,tb1qt5h4umk7sx8qtjg4gxt67st6fkwljd7280aczg,tb1qt5h4umk7sx8qtjg4gxt67st6fkwljd7280aczg,0.02095599,7.65E-05,235,153,610,00145d2f5e6ede818e05c9154197af417a4d9df937ca,0,1,1,0,0,1,5859,5859,1,0,0
89ff6a65f58433ffa0233dc4c38530431ff8a50e18ff3ab012627f750e27cbc8,fa868730fb20f9802fcccb3b6bb6e920df3d38cea1b7fe972206a31bc1a3a3ee,tb1ql6dt22dhcvat4rzxhpmvsnk349h9skw9p4ar69,tb1ql6dt22dhcvat4rzxhpmvsnk349h9skw9p4ar69,0.00047013,1.99E-05,235,153,610,0014fe9ab529b7c33aba8c46b876c84ed1a96e5859c5,0,0,0,0,0,0,4925,4925,0,0,1
7e1a73eed24cdb7adf1828c372b52bacd4ef7ac3ce3b95b48cc2d497f3b1f334,4c85ce3ac102223d3d78957da5e2b4fb11c14ec252d1376e380c808171dcf37b,tb1qga8wuhzw24v8tc5jmmndggv0uj7guaa067xmsz,tb1qga8wuhzw24v8tc5jmmndggv0uj7guaa067xmsz,0.00503547,1.99E-05,235,153,610,0014474eee5c4e555875e292dee6d4218fe4bc8e77af,0,0,0,0,0,0,4390,4390,1,0,0
14a5f0e4e5e674bb725b858fafb963d39cce8510629041165ddec2e76b70f196,24d1426a40059c25fba621616ac9abbbc7c6055a372bd5cf10aaa75468418822,tb1qag49lfucp6ftahcdkj7jvwx4wd4sjj2v5we8ha,tb1qag49lfucp6ftahcdkj7jvwx4wd4sjj2v5we8ha,0.02616213,6.12E-05,234,153,609,0014ea2a5fa7980e92bedf0db4bd2638d5736b09494c,0,1,1,0,0,1,3700,3700,1,0,0
cb8978a11442fa6ca8eb87c01ee6a240a88a5488d5438486990663fec46454af,2b7f67a6af7aba21aa11f0e07eac0fd5c53624145a6819130a976c4979fbc3e7,tb1pep2rjp9s5dmepgtzyljq85gyt20a8efrmtg7jsvhpcd5y5t2uy3sp9p0gc,tb1pep2rjp9s5dmepgtzyljq85gyt20a8efrmtg7jsvhpcd5y5t2uy3sp9p0gc,0.00621942,2.41E-05,248,197,788,5120c8543904b0a37790a16227e403d1045a9fd3e523dad1e941970e1b42516ae123,0,0,0,0,0,0,1233,1233,1,0,0
dcc8a2954065ecc92893297f1d5082dab90bda4c88ad1233a6b9ba67c315e4c4,d027830ae4f9b9a163db5902dfeb655a685c113cb5bb5814939cc7aa8519afa4,tb1q407d79w3y7sg9au8wv7fwfadtdxyzw8ar5d5en,tb1q407d79w3y7sg9au8wv7fwfadtdxyzw8ar5d5en,0.0001268,3.86E-05,265,184,733,0014abfcdf15d127a082f787733c9727ad5b4c4138fd,0,0,0,0,0,0,2783,2783,1,0,0
d08e3daed3dfe271a3de7b76290afc986af2541473134fde4dab16f5209618cf,8e0890f19f29edfec3eb1ce69a156ee617862a09d55a7879e3b5ba315f4c6831,tb1qpyjqrtzkw69rvt06d2y4ae2w08xx33tvqsvdjf,tb1qpyjqrtzkw69rvt06d2y4ae2w08xx33tvqsvdjf,0.92085678,1.68E-05,234,153,609,0014092401ac56768a362dfa6a895ee54e79cc68c56c,1,1,1,0,0,1,5447,5447,1,0,0
4997a24c29bc4149f7061debfbc735b959747f90db1c54484bf086eabe09dd62,27552b1270c5828d7c2917dc5aafa54795289b424869707ead2effda3dcf2963,tb1qww5k85l0y2x64k8flvzc3jj7lnml00ks7qz85a,tb1qww5k85l0y2x64k8flvzc3jj7lnml00ks7qz85a,0.01659881,0.0001071,234,153,609,001473a963d3ef228daad8e9fb0588ca5efcf7f7bed0,0,0,0,0,0,0,6334,6334,1,0,0
46df68abfbbd40b9b52c57749d4f5edef7168d45f84f3085ef42d8818101d046,7b9c390a8060c19d16083884141491d5b7099116de6b5857d9b596965f05ff62,tb1qxcptdxs9yrhe9vkx74s7lt6zlacshjvmzj87xj,tb1qxcptdxs9yrhe9vkx74s7lt6zlacshjvmzj87xj,0.00041099,2.31E-06,313,231,922,00143602b69a0520ef92b2c6f561efaf42ff710bc99b,0,0,0,0,0,0,6392,6392,0,0,1
97593fb42d748ca946c52da1bd55febf73ec1045c9e80e6e9c0970395f5b415f,d6c6cc0696df3412e08b55c085f88b0e642a87d594b4fde75134fb15aa0f6141,tb1qfs2wgyvkercdpnyanj73xnwp5lpemmantszswc,tb1qqn0ps6pvu46mcld579ljpuu7phrvqupy3e9w65,0.00185442,0.000141,222,141,561,001404de18682ce575bc7db4f17f20f39e0dc6c07024,0,0,0,0,0,0,4310,5533,1,0,0
b066e37acf2bdf93078a6aae54269d63068a1217a782af9bc70f282272b5c362,0845f59aea13d772372425505a7d31f43d4e6066b97180d67c5590a715ec9c9d,tb1q7kwuh8pacvck630tdzclaexfp7askayjl85epm,tb1q7kwuh8pacvck630tdzclaexfp7askayjl85epm,0.00162784,0.0001071,234,153,609,0014f59dcb9c3dc3316d45eb68b1fee4c90fbb0b7492,0,0,0,0,0,0,3274,3274,1,0,0
499616d95ee5cac9019ff7881815626e7bc76d2c15c2354d2430ddd904e11198,20472072cc535080d1ae385e10245d432e8dc8f3c002d494c663db28204c6e95,tb1q3l4l4prpkw4zks7merw7l9hq2xa20hv5tsra0t,tb1q3l4l4prpkw4zks7merw7l9hq2xa20hv5tsra0t,1.51E-05,1.41E-06,223,141,562,00148febfa8461b3aa2b43dbc8ddef96e051baa7dd94,0,0,0,0,0,0,2719,2719,1,0,0
